,model_type,timewindow,overlap,accuracy,precision,recall,f1
0,deprnet,4,0.0,0.0748319664264657,0.11534443972380751,0.06420272343195746,0.06664682698833559
1,deprnet,4,0.25,0.07028907838832586,0.10860295073384833,0.06673153063785028,0.06456627355677778
2,deprnet,4,0.5,0.07001419608714532,0.10192905715319471,0.06576864311977236,0.06569457077613558
3,deprnet,4,0.75,0.06165849174797918,0.09151283826665489,0.06797469716674034,0.056044448875077695
4,deprnet,6,0.0,0.08769609136205284,0.11652074228565329,0.07035165866718111,0.08215926108606907
5,deprnet,6,0.25,0.08134752998003912,0.11674722008619591,0.06814539605381162,0.07568391217042074
6,deprnet,6,0.5,0.07846291551904848,0.10741296632252023,0.08328421596626784,0.07555125426048317
7,deprnet,6,0.75,0.04981615979567391,0.07784925772045756,0.059610866552968274,0.04831154432004675
8,swin,4,0.0,0.06818601401204802,0.08979779863108274,0.10722839078043596,0.07074492177420219
9,swin,4,0.25,0.07162219861452117,0.10501702906451228,0.10049658106628596,0.06999994435182959
10,swin,4,0.5,0.06787769416400805,0.08988230177626864,0.09872920962097002,0.06996205635480103
11,swin,4,0.75,0.07438678137059106,0.10243065437765372,0.11869115152379038,0.07709051129295234
12,swin,6,0.0,0.06680611418753662,0.0948601385296523,0.10267584500173921,0.06853608651001322
13,swin,6,0.25,0.05585183333045488,0.07979406503719465,0.10126391641749968,0.05941705731605893
14,swin,6,0.5,0.06538232359534245,0.0899688963014315,0.09805426792062408,0.0666697865518821
15,swin,6,0.75,0.06714137800276335,0.08951526956681609,0.09181671421659174,0.06858722880423555
